Location,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
"Yakima, WA",58.6,25.5,15.4,6.3,64.8,3.6,58.9,7.8,31.3,28.6,7.1,10.6,18.8,57.4,11.0,20.7,30.0,37.9,73.9,14.9,33.9,,15.5,24.7,33.3,3.8,70.4,17.6
"Fayetteville, AR",64.7,17.4,18.5,4.6,64.2,2.1,59.0,5.6,36.4,31.4,4.6,9.1,20.5,59.5,6.6,10.6,24.9,29.9,75.2,14.8,29.8,,10.8,24.6,34.2,2.1,68.8,15.6
"Independence, MO",70.8,29.0,19.1,7.3,74.0,3.1,66.0,9.3,36.7,36.3,7.7,10.2,24.5,59.5,11.2,16.0,34.5,42.8,76.4,14.8,31.2,78.3,15.4,25.2,36.3,3.8,78.4,18.3
"Tallahassee, FL",75.1,15.9,19.9,4.3,65.8,2.3,72.2,5.6,37.2,41.2,4.0,8.5,16.3,63.3,7.4,20.0,23.3,27.5,84.7,14.8,28.4,84.3,10.6,24.9,34.0,2.4,68.1,12.8
"South Gate, CA",61.4,16.2,16.5,3.7,65.7,3.2,52.9,5.3,20.9,25.9,5.0,8.7,15.0,49.6,11.6,27.8,25.6,33.4,78.9,14.8,30.5,85.2,15.3,28.1,37.8,2.7,63.0,14.3
"Chattanooga, TN",72.7,30.0,12.8,6.3,76.4,3.4,65.2,9.1,31.2,27.5,7.4,10.7,23.3,58.5,13.0,16.3,40.1,37.8,79.8,14.8,33.7,84.7,15.5,29.4,39.7,4.2,80.1,18.5
"Reno, NV",63.4,22.6,19.4,5.8,71.3,2.7,63.1,6.3,34.3,26.8,6.0,8.9,18.3,62.4,9.0,16.3,27.0,37.4,71.6,14.8,25.7,81.4,13.6,22.1,33.5,2.9,68.7,17.0
"Hammond, IN",65.1,26.6,16.3,5.5,68.0,3.3,53.1,8.2,28.3,21.9,7.2,10.6,23.0,50.8,13.1,19.9,34.5,39.1,73.9,14.7,39.1,81.5,15.8,33.5,41.2,3.8,76.3,23.2
"Mobile, AL",74.6,32.1,14.7,6.3,75.9,3.4,65.0,8.6,31.8,30.7,7.7,9.9,20.2,58.7,15.2,17.0,42.0,39.9,82.0,14.7,39.0,85.5,15.7,29.5,39.1,4.5,79.3,19.7
"Las Vegas, NV",68.6,23.1,16.1,5.8,71.4,3.1,56.6,7.3,33.2,27.3,6.7,8.7,19.5,58.1,11.7,19.3,27.4,35.1,73.7,14.7,27.3,79.8,14.4,26.3,40.6,3.2,71.9,15.5
"Columbus, OH",72.3,22.2,19.0,5.1,70.5,2.6,62.1,6.8,30.5,34.1,5.3,10.1,22.7,63.8,9.6,11.1,29.7,31.6,80.7,14.6,32.0,86.7,12.0,25.8,39.1,3.0,74.5,18.0
"Worcester, MA",77.4,24.0,18.3,5.7,73.6,2.8,65.2,6.7,31.0,27.9,6.0,11.4,21.1,61.3,9.8,11.0,30.1,34.9,80.5,14.6,28.5,84.4,12.9,26.4,38.2,3.0,74.6,19.2
"Fresno, CA",61.2,19.6,15.1,4.9,66.9,3.3,59.3,6.6,31.9,27.5,5.8,9.8,17.1,55.4,11.5,18.7,28.9,34.1,78.6,14.6,33.7,79.7,14.3,26.2,36.5,3.3,68.5,17.9
"Palmdale, CA",64.6,18.0,17.1,4.4,70.7,3.0,58.6,6.0,25.2,30.5,4.9,9.3,16.3,55.6,10.6,18.7,27.3,32.6,79.3,14.6,29.3,85.3,14.3,24.0,38.6,3.0,65.9,14.5
"Sparks, NV",63.9,23.4,19.5,5.9,72.9,2.7,63.0,6.4,33.5,26.2,6.1,8.9,18.6,63.1,9.2,16.3,27.7,38.0,70.8,14.6,26.0,81.3,13.9,22.5,33.9,2.9,69.2,18.1
"Elizabeth, NJ",75.3,20.8,14.3,4.6,70.3,3.2,50.4,7.0,27.4,21.8,6.2,8.9,20.3,55.6,12.0,26.1,32.2,34.5,76.5,14.6,34.5,82.7,15.8,40.3,44.0,3.2,72.6,19.5
"Montgomery, AL",76.5,29.4,15.1,5.9,75.9,3.3,64.9,8.2,33.6,31.0,6.8,10.4,21.0,60.6,13.7,17.9,40.3,37.4,82.4,14.5,36.4,85.5,14.5,29.8,38.0,4.2,78.9,18.1
"Wilmington, DE",77.1,24.3,15.1,5.6,72.5,3.5,59.5,7.5,31.9,30.7,6.4,10.7,23.8,52.7,13.9,17.1,37.6,35.2,82.6,14.5,36.4,83.7,14.2,32.9,43.1,4.3,76.9,21.6
"Rialto, CA",63.8,18.0,17.1,4.1,68.6,3.0,58.0,5.7,23.3,25.2,5.1,10.0,16.3,54.1,11.2,20.8,29.2,34.0,82.1,14.5,30.5,83.5,14.1,25.7,40.2,3.0,65.9,18.9
"Augusta, GA",76.4,26.6,14.3,5.5,73.5,3.4,60.3,8.0,34.4,28.0,6.6,10.2,22.5,59.8,12.9,21.2,39.4,36.1,81.7,14.5,35.6,83.9,14.4,33.2,42.5,4.2,77.6,22.6
